2026-06-23 09:48:00.485 Uvicorn server started on 0.0.0.0:8501

  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://192.168.68.59:8501
  External URL: http://173.79.85.196:8501

  For better performance, install the Watchdog module:

  $ xcode-select --install
  $ pip install watchdog
            
09:48:03 | INFO     | celo_trader | logging_initialised
09:48:03 | INFO     | celo_trader | logging_initialised
09:48:03 | INFO     | celo_trader | logging_initialised
09:48:03 | INFO     | celo_trader | logging_initialised
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:03 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:48:43 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 4 bars for 2026-06-23 (extended_live=True)
09:48:43 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 4 bars for 2026-06-23 (extended_live=True)
09:48:43 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 18 bars for 2026-06-23 (extended_live=True)
09:48:43 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 18 bars for 2026-06-23 (extended_live=True)
09:48:59 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:59 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:48:59 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
